@子曾经在川上曰过: 医学类协和居然一个第一都没有？估计亏在体量太小@每日经济新闻:
@巴格达西: 转发微博@新闻晨报:
@合肥工业大学MBAMPA: 全国高校专业10强排行榜，高考报志愿必备！@新安晚报:
@澈丹_李朵朵: 转发微博@成都商报:
@人民日报: 【文科生青睐的专业知多少？】①会计学：容易就业，但目前毕业生过多；②国际经济与贸易：大公司抢手货；③新闻学：新媒体催生新机遇；④法学：市场需求大；⑤英语：翻译领域高级人才稀缺；⑥物流管理：需求规模扩大；⑦广告学：人才市场需求大......更多↓↓文科生的你，想好专业了吗？@人民日报:
@商君_: 转发微博@人民日报:
@hq22288810: [赞]@环球网校高考频道: 【收藏！全国高校专业排行榜，#2015高考志愿#必备】转需[耶][耶][耶]@人民日报:
@WISE-FOREVER: 几乎全部专业的排名都下滑还好拿出来秀[doge]我交心真大@西安交通大学:
@安徽学生资助: 理工科各专业哪家强？戳图了解！@合肥工业大学:
@笛笛笛子啊: 最终还是在社会学政治学语言学教育学心理学这些传统师范专业找到了华师的影子。嗯，蛮靠前。武汉大学真是此生一个遗憾，不愧是人文科学院综合实力全国前五。前后本命都来自那里。不管怎么说，爱自己的学校吧。@人民日报:
@优知库: 全国高校文科排行榜。你心水哪个呢~~[兔子]@人民日报:
@暗夜冬冬: 转发微博@人民日报:
@手机用户3493522964:  岌埣：：：@N@人民日报:
