@二货版萝卜头: [心]@新闻晨报:
@郝静sevi: 转发微博@新闻晨报:
@于丹: 父爱如山，父亲是引导者与启蒙者。父亲是一个家的规矩、一个家的楷模，父亲是一种门风。@新闻晨报:
@吉大青年报社: 厚爱无言，感恩[心][心][心]@新闻晨报:
@安安静静不文静: 【这个男人从来不说我爱你，但他给了你全部[心]】他用自己最好的岁月，陪伴子女成长。祝愿所有的父亲幸福安康！@新闻晨报:
@LB小船: 希望爸爸身体健康，一切顺利[爱你][爱你][爱你]@新闻晨报:
@中国新闻网: 戳中泪点！[心]@零落萍萍 ：如果常去父亲的朋友圈，你会发现那里已经成为了我在网络上的“家”。他把不敢烦我的叮嘱和关心，默默收藏进了朋友圈。当父亲逐渐年老，他不再强势，不再呵斥我做这做那，甚至不敢跟我表达，朋友圈渐渐成了他爱的出口，他对我的爱躺在朋友圈里，越酿越纯。@中国新闻网:
@五邑大学团委: #父亲节#她越长越大，他越来越老，她或许并不出色，但却是他一生最大的骄傲。而你，也是我最大的骄傲，父亲节快乐！[爱你]@人民日报:
@于莹莹cynthia: 爸爸，我爱你[爱心]️@人民日报:
@甘肃卫视: [心]@人民日报:
@用户tusz3jdlss: 转发微博@重庆吃喝玩乐排行榜:
@耍耍成都: 这个男人从来不说我爱你，但他给你了全部[心]@成都热门搜罗:
@最IN成都: 这个男人从来不说我爱你，但他给你了全部[心]@成都热门搜罗:
@百色公安: 【又萌又虐！这个男人从来不说我爱你，但他给了你全部[心]】@公安部打四黑除四害:
@池州公安在线: [心][心][心]@公安部打四黑除四害:
@没伞的孩子要学会奔跑Oo: [下]@华西都市报:
@凯源玺的四叶草时代: 爸，父亲节快乐@新浪重庆:
@特警SWAT-丁sir: [心][心]@杭州热门资讯:
@ZiHong此言: 我最亲爱的爸爸[心]@杭州微博城事:
@你好酱阿: 转发微博@这英语有意思:
@小蘑菇微博: 父亲节，爸爸祝您节日快乐@这英语有意思:
@小小公主bei: 转发微博@这英语有意思:
@IN兰州: 祝愿所有的父亲幸福安康！@兰州发布:
@我本姓张18: 转发微博@平安商丘:
@黄小玺: [爱你][爱你][爱你]父亲，节日快乐……@平安商丘:
@山西师大现代文理学院团委: 天下所有的父亲，你们辛苦了！@山西师范大学团委 @山西师大新媒体工作中心@中南大学:
@上戏腐女: [心]@逗笑酱:
@中意她_: 树欲静而风不止 子欲养而亲不待@逗笑酱:
@河南日报: 【调查显示：50%老父亲最想收到的礼物是和孩子一起吃顿饭】今天是父亲节，从早晨开始，许多人一打开手机或者电脑，就收到了关于父亲节的提醒。来自上海科技助老服务中心的一项调查显示，在接受调查的老年男性中，50%最想收到的礼物是和孩子一起吃顿饭。（澎湃）@河南日报:
@河南日报:  【调查显示：50%老父亲最想收到的礼物是和孩子一起吃顿饭】今天是父亲节，从早晨开始，许多人一打开手机或者电脑，就收到了关于父亲节的提醒。来自上海科技助老服务中心的一项调查显示，在接受调查的老年男性中，50%最想收到的礼物是和孩子一起吃顿饭。（澎湃）@河南日报:
@13水电王小艳: 转发微博@陕西师范大学:
@青曲社王百秦: [红心]@陕西师范大学:
@车天琦琦: 转发微博@Miss汤圆儿君:
@颜洲阿: 转发微博@Miss汤圆儿君:
